entity_id,total_comments
do_1135947728530472961134,1
do_114435620299309056192,30
do_1141460579889643521487,17
do_113434721269727232147,7
do_1140095095932108801258,2
do_1143025166534000641218,138
do_1141362732085166081244_rc,9
do_1141396407876321281330,48
do_1143245540823449601148,20
do_1134186585121095681447,222
do_1140214657687142401103,67
do_11431818327857561611346,42
do_1142835054770176001217,10
do_114267785694363648154,2
do_1142352880604119041700,3
do_113846036569923584113,10
do_11408128266633216015105,1
do_1142769732469473281264,36
do_1141122399571558401357,16
do_113975613208264704173,95
do_1143719391179161601174,19
do_1138112392205680641179,1
do_1143392378609172481575,57
do_11419136684862668811,47
do_114252309051113472180,1402
do_1140011554917416961202,1
do_1143444092903260161920,2
do_1141581611362385921698,1
do_11432227403011686411,66
do_1141552163785932801746,5
do_11368878012781363214,2
do_114168791237885952157,12
do_11424529179887206414,96
do_1141085360939745281269,47
do_1138991451406417921383,33
do_1142001923415982081209,178
do_114264490002808832159,26
do_1143343576988876801404,287
do_1141581719891476481747,1
do_1144354964260208641317,3
do_1140272823587143681164,13
do_114301814917627904174,14
do_1136230211431628801140,2
ext_11411660109225164814,2
do_1140235766868787201141,1
do_1140671107780853761369_rc,5
do_11443276570918912016,1
do_113705131684888576193,12
do_11396060992419430412,11
do_114366301364404224158,21
do_1142771318716170241334,472
do_1141354718112317441240,61
do_1144865093676072961313,12
do_11435905536251494413,84
do_1144326875435253761250,1
do_113956497833541632159,173
do_1141844371358023681123,78
do_1143642994116608001615,65
do_114015788808445952114,186
do_1141482639469772801526,33
do_11392673956640358413,203
do_114170272984563712118,159
do_1138672089134694401173,25
do_114169570848522240181,25
do_114398131727908864118,58
do_1142926816718766081437,3
do_1142685909677342721221,9
do_1141957114358906881176,1
do_1140802630098206721492,41
do_1143270460295249921408,48
do_1138112911795650561202,3
do_1143174941885726721790,7
do_1143831413228257281685,89
do_114052036902871040112,40
do_1141058174875320321291,64
do_1141831688893317121127,4
do_1143145895524024321556,65
do_114167518288683008138,156
do_11392749946665369611,160
do_1140561745782702081160,37
do_1135948538398310401157,3
do_11427360357915852819,825
do_1139262167082024961121,156
do_1143577261582663681346,38
do_114168733452877824144,15
do_114168166227230720158,12
do_113569925772673024138,1
do_1143543445346467841302,25
do_114233909653413888154,53
do_1140095302546145281268,2
do_114398204027494400145,34
do_11364071431645593611356,3
do_1136237879622287361273,1
do_113814254546264064172,1
do_1138982664532459521323,28
do_1144532469553479681856,39
do_114296949478375424123,7
do_113787195142135808172,7
do_1141846071950540801156,5
do_114280663737049088111_rc,5
do_1141510990487306241598,4
do_114183161745580032177,1
do_114259429044682752169,3
do_11433730943437209611294,10
do_114353572792885248181_rc,46
do_1142805526737141761266_rc,1
do_11448239747597107212,1
do_1142643259267235841240,46
do_114386684769427456197,38
do_11436349860180787211388,136
do_11440228146908364811015,46
do_1136287855544401921703,1
do_11440584504685363211,21
do_114017367648657408151,2
do_113984681753231360194,27
do_113700230396600320150,1
do_1142176558741258241995,37
do_1144652822335242241423,48
do_113692513327054848156,17
do_114167477765423104113,20
do_11407955440633446419,4968
do_114371784303599616178,7
do_113603939599810560195,1
do_11359612381120102411,1
do_1141532871676149761620,42
do_113848907969683456111,89
do_1138233678993653761452,179
do_1134595484778741761683,22
do_11363797656923340811174,9
do_1143576473024184321445,15
do_1139954244450385921110,727
do_1142884568841912321471,8
do_1139301654992896001153,311
do_113695326810488832115,551
do_114240376877342720166,68
do_11384681423599206415,17
do_113857255834066944185,1
do_114362713408495616148,260
do_114083389300981760111,67
do_113935868344139776131,1
do_113829752294342656160,342
do_113521161721176064121,2
do_1140917609488220161157,73
do_1142325836882165761723,9
do_1141567383488512001731,210
do_1142941674344202241521,1
do_114234648862203904165,11
do_114170330050805760133,8
do_1144156406454190081309_rc,1
do_1141108111275704321384,56
do_113816929662091264131,24
do_1141015584589168641161_rc,4
do_114095877778530304158_rc,81
do_113970658291015680175,1
do_114395865199550464128,48
do_114372650174619648171,38
do_11390113879938662411,193
do_11436256113695948813,100
do_114240905287491584135,319
do_11424458637017088012,216
do_1140116559954165761311,57
do_11440811894290841611357,138
do_1141066184142438401321,134
do_11435140429814169611173,267
do_1135439108062576641164,13
do_1144357101663846401302,13
do_1144462454319595521540,25
do_113702401562689536174,12
do_1138120630685122561214,21
do_114328120942387200177,101
do_114167422956118016133,45
