entity_id,comment
do_1137277348012195841200,Hindi me send kijiye please 
do_1137277348012195841200,I have completed this course long back. It is stll showing 50% completed. Pl rectify the error.
do_1137277348012195841200,unable to  complete the course due to technical problem in course
do_1143329470620631041396,good 
do_1143329470620631041396,Good 
do_1143329470620631041396,Informative and knowlegable information about GeM Portal
do_1143329470620631041396,ok
do_1143329470620631041396,👍🇮🇳👍
do_1143329470620631041396,good
do_1143329470620631041396,ok
do_1143329470620631041396,ok
do_1143329470620631041396,ok
do_1143329470620631041396,show error 502 
do_1143329470620631041396,502 show error 
do_1143329470620631041396,502 bad gateway please help 
do_1143329470620631041396,good 
do_1143329470620631041396,nice!
do_1143329470620631041396,😀 good 
do_1143329470620631041396,good
do_1143329470620631041396,good 
do_1143329470620631041396,Good Knowledge 👍
do_1143329470620631041396,good
do_1143329470620631041396,Good 
do_1143329470620631041396,good 
do_1143329470620631041396,good 
do_1143329470620631041396,Short and concise yet imparts good knowledge. 
do_1143329470620631041396,;olikikunm
do_1143329470620631041396,"very very important for our knowledge getharing, thank you..."
do_1143329470620631041396,very imortant for knowledge your..........................
do_1143329470620631041396,nice 
do_1143329470620631041396,knowledgeable
do_1143329470620631041396,"Important , useful and informative."
do_1143329470620631041396,Hip Hip Hurray 
do_1143329470620631041396,👍
do_1143329470620631041396,good 
do_1143329470620631041396,good 
do_1143329470620631041396,good course 
do_1143329470620631041396,super information
do_1143329470620631041396,knowledge full 
do_1143329470620631041396,Your course is very good. I Learnt many New things. thankyou very much. दीपक चन्द उप निरीक्षक उत्तर प्रदेश पुलिस 
do_1143329470620631041396,very very nice 
do_1143329470620631041396,very Nice 👌
do_1143329470620631041396,good
do_113569958119809024135,what to do
do_113569958119809024135,फिनिश नहीं हो रहा 
do_113569958119809024135,"I unable to complete, after several times tried also"
do_113569958119809024135,"There is technical problem with content, as it is not allowing to complete or finish after references slide"
do_114094402308440064114_rc,good
do_114094402308440064114_rc,good
do_114094402308440064114_rc,thanks
do_114094402308440064114_rc,nice
do_114094402308440064114_rc,xlent
do_114094402308440064114_rc,very nice course for all
do_114094402308440064114_rc,ok
do_114094402308440064114_rc,good one
do_114094402308440064114_rc,nn
do_114094402308440064114_rc,OKAY
do_114094402308440064114_rc,good
do_114094402308440064114_rc,nice course
do_114094402308440064114_rc,Good information about procurement
do_114094402308440064114_rc,good
do_114094402308440064114_rc,good
do_114094402308440064114_rc,Excellent 
do_114094402308440064114_rc,very good
do_114094402308440064114_rc,good
do_114094402308440064114_rc,good knowledge sharing
do_114094402308440064114_rc,PPT sharing not visible
do_114094402308440064114_rc,PPT not visible
do_114094402308440064114_rc,done
do_114094402308440064114_rc,Its good
do_114094402308440064114_rc,so good
do_114094402308440064114_rc,clear
do_114094402308440064114_rc,Excellent
do_114094402308440064114_rc,Refreshing 
do_114094402308440064114_rc,It is very usefull
do_114094402308440064114_rc,Excellent
do_114094402308440064114_rc,EXCELLENT CONTENT👍
do_114094402308440064114_rc,EXCELLENT CONTENT👍
do_114094402308440064114_rc,Useful spelling wrong sir
do_114094402308440064114_rc,excellent
do_114094402308440064114_rc,it is very useful course
do_114094402308440064114_rc,👍
do_114094402308440064114_rc,👍
do_114094402308440064114_rc,👍😀
do_114094402308440064114_rc,👍😀
do_114094402308440064114_rc,👍
do_114094402308440064114_rc,good
do_114094402308440064114_rc,👍
do_114094402308440064114_rc,👍
do_114094402308440064114_rc,👍
do_114094402308440064114_rc,👍
do_114094402308440064114_rc,Excellet study material
do_114094402308440064114_rc,very nice 
do_114094402308440064114_rc,vry  helpfull
do_114094402308440064114_rc,excellent material
do_114094402308440064114_rc,Helpful materia
do_114094402308440064114_rc,good material
do_114094402308440064114_rc,ok
do_114094402308440064114_rc,Helpful materia
do_114094402308440064114_rc,video is not full sccree
do_114094402308440064114_rc,"video should be full screen , it is very uneasy to see  and poor module"
do_114094402308440064114_rc,"poor video and audio, need PDF also"
do_114094402308440064114_rc,Excellent information and good presentation of the topic . This presentation shall be very use full for executive working in MM section/ and is  valuable information about 
do_114094402308440064114_rc,exellent
do_114094402308440064114_rc,Video should be full screen & poor audio
do_114094402308440064114_rc,Poor audio & video should be full screen
do_114094402308440064114_rc,Poor audio & video should be full screen
do_114094402308440064114_rc,you can zoom video by control + mouse wheel
do_114094402308440064114_rc,good accessing technology
do_114094402308440064114_rc,good
do_114094402308440064114_rc,good vedio
do_114094402308440064114_rc,good
do_114094402308440064114_rc,very much useful
do_114094402308440064114_rc,very much useful
do_114094402308440064114_rc,very much useful
do_114094402308440064114_rc,very useful
do_114094402308440064114_rc,good 
do_114094402308440064114_rc,nicw
do_114094402308440064114_rc,it's useful for all
do_114094402308440064114_rc,not open till 30/03/2025
do_114094402308440064114_rc,Good and Very Informative 
do_114094402308440064114_rc,Excellent chapter.
do_114094402308440064114_rc,GOOD
do_114094402308440064114_rc,"Not having Audio facility, please provide pdf"
do_114094402308440064114_rc,excellent
do_114094402308440064114_rc,very good usefull
do_114094402308440064114_rc,THANKS 
do_114094402308440064114_rc,Very good 
do_114094402308440064114_rc,useful for BSNL
do_114094402308440064114_rc,good 
do_114094402308440064114_rc,GOOD
do_114094402308440064114_rc,nice
do_114094402308440064114_rc,very useful
do_114094402308440064114_rc,very useful chapter for bsnl
do_114094402308440064114_rc,VERY USEFUL FOR BSNL
do_114094402308440064114_rc,VERY USEFUL FOR BSNL IN TENDER
do_114094402308440064114_rc,VERY USEFUL FOR BSNL
do_114094402308440064114_rc,excellent
do_114094402308440064114_rc,Video sound quality not good but course is very useful
do_114094402308440064114_rc,excellent
do_114094402308440064114_rc,good
do_114094402308440064114_rc,good
do_114094402308440064114_rc,good
do_114094402308440064114_rc,good
do_114094402308440064114_rc,good
do_114094402308440064114_rc,ok
do_114094402308440064114_rc,Good
do_114094402308440064114_rc,good
do_114094402308440064114_rc,good
do_114094402308440064114_rc,ok
do_114094402308440064114_rc,very good course and valuable information given.
do_114094402308440064114_rc,Useful Useful
do_114094402308440064114_rc,good
do_1142155196302868481949,excellent 
do_1142155196302868481949,good
do_1142155196302868481949,This is very good course for enhancement of business in life.  
do_1142155196302868481949,Good 
do_1142155196302868481949,GOOD INFORMATION
do_1142155196302868481949,TECHNICIAN 
do_1142155196302868481949,very best information 
do_1142155196302868481949,Excellent course module to learn 
do_1142155196302868481949,Very informative 
do_1142155196302868481949,very nice
do_1142155196302868481949,very nice
do_1142155196302868481949,super
do_1142155196302868481949,good
do_1142155196302868481949,very nice
do_1142155196302868481949,very good 
do_1142155196302868481949,Good information 
do_1142155196302868481949,good information 
do_1142155196302868481949,good 
do_1142155196302868481949,👍
do_1142155196302868481949,good information 
do_1142155196302868481949,nice 
do_1142155196302868481949,good 
do_1142155196302868481949,good
do_1142155196302868481949,good and congratulations
do_1142155196302868481949,Df
do_1142155196302868481949,good 
do_1142155196302868481949,good
do_1142155196302868481949,Good
do_1142155196302868481949,ffg
do_1142155196302868481949,👍
do_1142155196302868481949,super 
do_1142155196302868481949,It was good 
do_1142155196302868481949,very good
do_1142155196302868481949,good 
do_1142155196302868481949,very good 
do_1142155196302868481949,it was good 
do_1142155196302868481949,Good
do_1142155196302868481949,Good 
do_1142155196302868481949,good
do_1142155196302868481949,good
do_1142155196302868481949,good
do_1142155196302868481949,good
do_1142155196302868481949,good
do_1142155196302868481949,very good
do_1142155196302868481949,Good 👍
do_1142155196302868481949,excellent training program 
do_1142155196302868481949,useful 
do_1142155196302868481949,good
do_1142155196302868481949,good
do_1142155196302868481949,good 
do_1142155196302868481949,very good 
do_1142155196302868481949,videos are n ot opening
do_1142155196302868481949,🤩🤩🤩
do_1142155196302868481949,GOOD
do_1142155196302868481949,helpful 
do_1142155196302868481949,good 
do_1142155196302868481949,very much informative in short time
do_1142155196302868481949,Good
do_1142155196302868481949,Nice
